EXPOCODE 3250031_1   WHP-ID P31     CRUISE DATES 012594 TO 021994         20020814WHPOSIODM                                                                                                          *
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  TCARBN  ALKALI      PH  PHTEMP  CFC-11  CFC-12         QUALT1         QUALT2
                                    DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG           DEG C PMOL/KG PMOL/KG                             *
                         *******                 ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* *******         ******* *******                             *
       5       1      36      36     2.0 29.4017 35.9813   179.0 29.4012 35.9811   195.3    1.33    0.14    0.00    0.20    -9.0  2375.3  8.1457   25.00  -9.000  -9.000 22222222392299 22222222392299
       5       1      35      35    13.9 29.3042 35.9804   193.4 29.3008 35.9803   196.2    1.12    0.14    0.00    0.20    -9.0  2371.8  8.1437   25.00  -9.000  -9.000 22222222392299 22222222392299
       5       1      34      34    55.4 28.0699 36.0924   204.6 28.0568 36.0956   205.3    1.10    0.14    0.00    0.17    -9.0    -9.0  8.1435   25.00  -9.000  -9.000 22222222399299 22222222399299
       5       1      33      33   105.4 26.3779 36.2472   205.1 26.3540 36.2443   205.1    0.90    0.14    0.00    0.20    -9.0  2393.2  8.1229   25.00  -9.000  -9.000 22222222392299 22222222392299
       5       1      32      32   205.2 22.0045 36.0140   182.2 21.9637 36.0081   178.5    0.88    2.55    0.02    0.40    -9.0    -9.0  8.0033   25.00  -9.000  -9.000 22222222399299 22222222399299
       5       1      31      31   305.4 17.0947 35.3761   172.6 17.0438 35.3645   173.1    2.34    7.14    0.00    0.70    -9.0  2340.5  7.9118   25.00  -9.000  -9.000 22222222392299 22222222392299
       5       1      30      30   405.4 10.9608 34.6936   153.5 10.9107 34.6877   150.1   10.46   19.54    0.00    1.52    -9.0    -9.0  7.7229   25.00  -9.000  -9.000 22222222399299 22222222399299
       5       1      29      29   505.2  7.8039 34.4795   145.2  7.7529 34.4762   145.4   20.43   27.58    0.00    2.00    -9.0  2302.2  7.6228   25.00  -9.000  -9.000 22222222392299 22222222392299
       5       1      28      28   605.1  6.3827 34.4385   142.2  6.3277 34.4390   147.4   30.59   30.95    0.00    2.19    -9.0    -9.0  7.5966   25.00  -9.000  -9.000 22222222399299 22222222399299
       5       1      27      27   705.0  5.3699 34.4324   150.2  5.3107 34.4335   150.1   41.49   32.71    0.00    2.31    -9.0  2321.1  7.5852   25.00  -9.000  -9.000 22222222392299 22222222392299
